local,complete
24,162
12,177
30,167
12,177
18,157
20,277
6,217
12,132
30,162
6,142
12,157
6,132
18,137
12,137
12,137
24,242
18,157
36,182
12,147
26,207
22,157
30,152
12,182
24,302
12,162
30,162
12,167
12,192
6,147
24,187
12,147
24,262
34,117
18,107
30,132
12,202
12,202
12,162
12,157
32,147
48,182
12,267
24,127
36,182
23,152
12,142
6,127
12,157
12,127
12,157
12,127
18,137
12,292
18,142
24,282
28,202
24,127
12,132
29,142
44,142
18,242
18,142
33,232
40,147
24,152
66,182
6,357
6,187
6,172
20,197
6,162
24,207
18,242
30,217
12,152
30,137
12,122
12,152
24,167
24,167
18,142
6,377
12,177
36,142
30,147
12,142
42,252
12,192
18,172
18,177
12,142
24,182
51,182
24,172
24,162
24,137
12,152
24,147
18,122
30,117
12,112
12,147
48,182
37,127
30,162
12,127
43,252
30,282
12,242
12,262
6,152
12,182
12,187
6,182
48,152
22,212
18,222
18,352
23,312
10,112
6,112
6,197
12,117
20,112
23,132
35,147
6,187
33,227
26,357
18,217
30,167
12,237
12,252
6,142
24,157
46,122
54,137
12,202
6,127
48,152
6,132
33,367
16,102
33,172
18,267
18,132
20,137
6,172
28,187
23,202
12,157
36,152
12,142
6,92
6,97
12,167
30,412
51,157
18,177
12,172
6,222
12,177
6,137
12,167
27,132
19,127
16,152
6,142
18,132
12,147
30,252
12,182
6,177
6,162
6,137
12,182
6,167
12,167
20,227
39,187
23,222
28,227
34,352
18,217
23,187
18,147
12,137
30,152
33,137
32,142
12,257
6,252
12,232
6,232
12,157
30,202
12,197
13,47
6,172
18,287
24,157
12,182
6,137
30,147
30,137
12,137
12,137
27,187
6,157
21,172
34,182
6,152
12,172
18,327
33,157
12,152
30,157
12,182
12,177
12,142
12,142
30,252
23,142
12,147
24,167
36,307
12,127
30,137
12,142
16,117
6,107
23,117
22,177
24,262
20,227
22,177
16,197
18,177
20,207
42,292
6,192
30,317
16,172
30,347
24,287
18,237
6,252
33,362
23,187
12,132
12,167
23,132
12,162
12,167
6,147
12,167
18,152
14,187
12,172
12,177
6,167
28,117
28,212
18,137
20,122
16,117
6,97
18,192
30,192
16,252
30,267
36,147
12,152
12,242
6,217
12,222
42,157
34,162
6,217
40,177
18,112
20,117
16,127
6,112
23,122
12,232
12,147
55,172
6,207
20,137
12,227
12,142
6,137
12,182
6,137
12,132
42,172
12,252
16,127
28,222
12,252
12,147
24,197
12,172
12,157
30,272
18,182
18,227
20,152
16,127
6,122
6,127
6,127
18,247
24,167
6,277
12,142
30,197
12,162
18,212
24,142
30,167
12,182
12,147
29,147
24,187
26,192
6,137
12,142
6,157
12,162
30,182
18,102
40,147
18,107
6,102
18,112
42,132
18,177
30,147
12,102
12,137
32,137
27,187
12,147
36,207
6,117
48,137
26,122
6,157
12,117
6,167
18,147
30,227
12,117
6,122
18,187
14,112
24,207
42,227
12,117
12,202
6,167
24,252
12,377
48,152
54,492
29,257
18,152
24,137
18,132
18,97
12,122
12,267
24,227
12,472
6,297
26,332
6,282
12,217
30,262
12,142
6,157
12,152
6,137
12,162
27,177
18,102
12,117
12,112
20,97
12,142
24,172
12,182
12,167
18,187
11,177
30,167
23,347
16,112
33,142
12,152
