min,max,avg
6,36,24.000000
6,24,12.000000
6,42,30.000000
6,24,12.000000
6,30,18.000000
6,36,20.400000
6,6,6.000000
6,24,12.000000
6,42,30.000000
6,6,6.000000
6,24,12.000000
6,6,6.000000
6,30,18.000000
6,24,12.000000
6,24,12.000000
6,36,24.000000
6,30,18.000000
6,60,36.000000
6,24,12.000000
6,54,26.000000
6,36,21.600000
6,42,30.000000
6,24,12.000000
6,36,24.000000
6,24,12.000000
6,42,30.000000
6,24,12.000000
6,24,12.000000
6,6,6.000000
6,36,24.000000
6,24,12.000000
6,36,24.000000
6,60,33.750000
6,30,18.000000
6,42,30.000000
6,24,12.000000
6,36,12.000000
6,24,12.000000
6,24,12.000000
6,60,32.250000
6,78,47.571429
6,24,12.000000
6,36,24.000000
6,60,36.000000
6,48,23.000000
6,24,12.000000
6,6,6.000000
6,24,12.000000
6,24,12.000000
6,24,12.000000
6,24,12.000000
6,30,18.000000
6,24,12.000000
6,30,18.000000
6,36,24.000000
6,54,28.285714
6,36,24.000000
6,24,12.000000
6,54,29.000000
6,72,43.636364
6,30,18.000000
6,30,18.000000
6,48,32.571429
6,54,40.000000
6,36,24.000000
6,78,66.000000
6,6,6.000000
6,6,6.000000
6,6,6.000000
6,36,20.400000
6,6,6.000000
6,36,24.000000
6,30,18.000000
6,42,30.000000
6,24,12.000000
6,42,30.000000
6,24,12.000000
6,24,12.000000
6,36,24.000000
6,36,24.000000
6,30,18.000000
6,6,6.000000
6,24,12.000000
6,48,36.000000
6,42,30.000000
6,24,12.000000
6,54,42.000000
6,24,12.000000
6,30,18.000000
6,30,18.000000
6,24,12.000000
6,36,24.000000
6,78,51.272727
6,48,24.000000
6,36,24.000000
6,36,24.000000
6,24,12.000000
6,36,24.000000
6,30,18.000000
6,42,30.000000
6,24,12.000000
6,24,12.000000
6,84,48.000000
6,60,37.333333
6,42,30.000000
6,24,12.000000
6,54,43.333333
6,42,30.000000
6,24,12.000000
6,24,12.000000
6,6,6.000000
6,24,12.000000
6,24,12.000000
6,6,6.000000
6,60,48.000000
6,42,22.363636
6,36,18.000000
6,30,18.000000
6,42,22.800000
6,18,10.000000
6,6,6.000000
6,6,6.000000
6,24,12.000000
6,36,20.400000
6,36,23.000000
6,48,35.333333
6,6,6.000000
6,54,33.428571
6,48,26.000000
6,30,18.000000
