path_len,local,complete
25,5,25
23,3,23
26,6,26
26,3,26
23,5,23
24,5,24
23,2,23
19,3,19
23,6,23
19,2,19
20,3,20
19,2,19
18,4,18
22,3,22
22,3,22
22,5,22
22,4,22
25,9,25
22,3,22
23,6,23
20,5,20
25,6,25
24,3,24
26,5,26
24,3,24
27,6,27
24,3,24
25,3,25
24,2,24
25,5,25
16,3,16
18,5,18
17,8,17
16,4,16
19,6,19
16,3,16
20,8,20
20,3,20
20,3,20
22,8,22
23,14,23
23,3,23
20,5,20
23,9,23
20,6,20
21,3,21
20,2,20
20,3,20
20,3,20
20,3,20
20,3,20
22,4,22
24,3,24
21,4,21
23,5,23
19,7,19
20,5,20
21,3,21
19,6,19
23,11,23
21,4,21
21,4,21
21,7,21
20,9,20
21,5,21
24,12,24
27,2,27
27,2,27
27,2,27
28,5,28
27,2,27
30,5,30
29,4,29
30,6,30
19,3,19
22,6,22
19,3,19
20,3,20
21,5,21
22,5,22
21,4,21
24,2,24
22,3,22
23,7,23
22,6,22
21,3,21
25,8,25
23,3,23
25,4,25
24,4,24
23,3,23
25,5,25
31,11,31
23,5,23
24,5,24
17,5,17
15,3,15
16,5,16
15,4,15
18,6,18
15,3,15
20,3,20
24,13,24
20,9,20
23,6,23
20,3,20
23,9,23
26,6,26
23,3,23
24,3,24
23,2,23
23,3,23
24,3,24
23,2,23
25,9,25
32,11,32
32,4,32
32,4,32
32,5,32
17,3,17
17,2,17
17,2,17
18,3,18
17,5,17
19,6,19
19,9,19
32,2,32
32,7,32
32,6,32
32,4,32
26,6,26
23,3,23
24,3,24
23,2,23
24,5,24
19,10,19
20,10,20
21,3,21
20,2,20
19,9,19
21,2,21
23,7,23
15,4,15
24,14,24
26,4,26
21,5,21
22,5,22
21,2,21
24,7,24
23,6,23
24,3,24
21,7,21
17,3,17
13,2,13
14,1,14
22,3,22
25,6,25
26,11,26
22,4,22
23,3,23
22,2,22
23,3,23
22,2,22
21,3,21
21,6,21
20,5,20
19,4,19
19,2,19
21,4,21
22,3,22
25,6,25
23,3,23
22,2,22
22,2,22
22,2,22
23,3,23
22,2,22
21,3,21
32,4,32
32,9,32
32,5,32
32,6,32
32,8,32
32,4,32
32,5,32
16,4,16
18,3,18
21,6,21
20,7,20
21,8,21
22,3,22
21,2,21
20,3,20
28,2,28
26,3,26
29,6,29
26,3,26
8,6,8
24,2,24
22,4,22
22,5,22
23,3,23
22,2,22
22,6,22
22,6,22
20,3,20
20,3,20
22,7,22
20,2,20
14,6,14
21,13,21
20,2,20
21,3,21
24,4,24
26,8,26
23,3,23
26,6,26
23,3,23
23,3,23
23,3,23
23,3,23
26,6,26
23,6,23
24,3,24
26,5,26
20,7,20
16,3,16
19,6,19
17,3,17
16,4,16
16,2,16
18,6,18
30,5,30
32,5,32
32,4,32
30,5,30
30,5,30
30,4,30
29,4,29
32,9,32
21,2,21
24,6,24
19,4,19
22,6,22
20,5,20
19,4,19
20,2,20
21,7,21
24,6,24
21,3,21
22,3,22
21,5,21
21,3,21
21,3,21
22,2,22
23,3,23
23,4,23
24,6,24
21,3,21
22,3,22
21,2,21
16,7,16
19,7,19
14,5,14
15,5,15
14,4,14
14,2,14
16,4,16
25,6,25
20,3,20
22,6,22
22,7,22
21,3,21
22,3,22
21,2,21
20,3,20
24,8,24
21,8,21
17,2,17
22,10,22
17,5,17
18,5,18
17,4,17
17,2,17
19,6,19
23,3,23
24,3,24
29,11,29
25,2,25
22,8,22
22,3,22
23,3,23
22,2,22
23,3,23
22,2,22
21,3,21
25,8,25
21,3,21
20,4,20
22,7,22
23,3,23
20,3,20
22,5,22
23,3,23
20,3,20
23,6,23
25,4,25
20,5,20
21,5,21
20,4,20
19,3,19
20,2,20
20,2,20
22,4,22
26,5,26
25,2,25
23,3,23
26,6,26
23,3,23
22,4,22
23,5,23
26,6,26
23,3,23
24,3,24
22,6,22
24,5,24
26,6,26
22,2,22
23,3,23
22,2,22
21,3,21
18,6,18
15,5,15
20,10,20
16,5,16
15,2,15
17,4,17
16,8,16
15,4,15
18,6,18
15,3,15
14,3,14
20,8,20
19,7,19
18,3,18
21,9,21
14,2,14
18,12,18
19,6,19
18,2,18
