min,max,avg
36,36,36.000000
24,54,38.400000
18,18,18.000000
36,36,36.000000
24,24,24.000000
36,36,36.000000
48,48,48.000000
42,42,42.000000
24,24,24.000000
42,42,42.000000
24,24,24.000000
42,42,42.000000
24,24,24.000000
24,42,30.000000
18,18,18.000000
18,18,18.000000
18,18,18.000000
42,42,42.000000
24,42,30.000000
42,66,50.000000
24,42,30.000000
24,24,24.000000
18,18,18.000000
18,18,18.000000
18,18,18.000000
24,24,24.000000
18,18,18.000000
24,24,24.000000
18,18,18.000000
18,18,18.000000
30,48,34.800000
42,42,42.000000
42,42,42.000000
12,12,12.000000
24,24,24.000000
36,36,36.000000
36,36,36.000000
48,48,48.000000
24,54,38.400000
18,18,18.000000
36,36,36.000000
18,18,18.000000
42,42,42.000000
24,24,24.000000
24,24,24.000000
18,18,18.000000
24,24,24.000000
18,18,18.000000
30,30,30.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
42,42,42.000000
30,30,30.000000
24,24,24.000000
36,42,37.200000
36,36,36.000000
12,30,25.500000
48,78,57.600000
24,24,24.000000
24,24,24.000000
42,42,42.000000
24,24,24.000000
42,60,46.500000
24,48,34.800000
24,24,24.000000
18,18,18.000000
24,24,24.000000
24,54,38.400000
18,18,18.000000
24,24,24.000000
18,18,18.000000
126,126,126.000000
60,60,60.000000
30,30,30.000000
60,60,60.000000
48,48,48.000000
12,24,20.000000
24,24,24.000000
24,36,28.000000
18,96,60.000000
24,24,24.000000
42,60,46.500000
36,36,36.000000
24,36,28.000000
24,114,77.142857
36,36,36.000000
24,24,24.000000
36,36,36.000000
24,24,24.000000
30,30,30.000000
42,42,42.000000
36,36,36.000000
42,42,42.000000
24,24,24.000000
24,24,24.000000
18,18,18.000000
24,24,24.000000
18,18,18.000000
24,24,24.000000
18,18,18.000000
36,36,36.000000
42,66,50.000000
42,42,42.000000
24,24,24.000000
18,18,18.000000
24,24,24.000000
36,36,36.000000
24,54,38.400000
18,42,30.000000
24,24,24.000000
42,42,42.000000
24,24,24.000000
36,36,36.000000
30,36,34.800000
42,42,42.000000
36,36,36.000000
42,42,42.000000
24,24,24.000000
24,30,26.000000
18,30,24.000000
24,30,26.000000
18,18,18.000000
42,42,42.000000
30,30,30.000000
36,36,36.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
18,36,27.000000
24,24,24.000000
36,36,36.000000
24,66,46.500000
18,18,18.000000
36,60,43.714286
48,66,52.000000
42,60,46.500000
24,78,57.692308
24,24,24.000000
36,36,36.000000
42,42,42.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
24,48,42.000000
24,24,24.000000
24,36,28.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
42,60,46.500000
24,24,24.000000
24,24,24.000000
24,54,38.400000
18,48,36.000000
24,24,24.000000
24,24,24.000000
24,24,24.000000
