abs,frac
4,0.160000
4,0.160000
4,0.160000
4,0.160000
2,0.074074
2,0.074074
2,0.074074
4,0.148148
4,0.148148
1,0.043478
4,0.160000
4,0.160000
4,0.160000
4,0.160000
2,0.086957
2,0.086957
4,0.160000
4,0.160000
4,0.160000
4,0.160000
6,0.222222
6,0.222222
6,0.222222
6,0.222222
6,0.222222
6,0.222222
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.086957
2,0.086957
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.086957
2,0.086957
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.076923
2,0.076923
2,0.086957
2,0.086957
2,0.086957
3,0.130435
1,0.043478
1,0.043478
1,0.043478
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.086957
2,0.086957
2,0.086957
3,0.130435
5,0.178571
5,0.178571
5,0.178571
5,0.178571
5,0.178571
5,0.178571
8,0.285714
8,0.285714
8,0.285714
2,0.086957
2,0.086957
2,0.086957
3,0.130435
2,0.083333
2,0.083333
1,0.043478
1,0.043478
1,0.043478
2,0.083333
2,0.083333
1,0.043478
2,0.083333
2,0.083333
1,0.043478
1,0.043478
3,0.120000
3,0.120000
3,0.120000
3,0.120000
4,0.160000
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
0,0.000000
2,0.105263
2,0.105263
4,0.190476
4,0.190476
4,0.190476
4,0.190476
4,0.210526
4,0.210526
4,0.210526
4,0.210526
6,0.285714
6,0.285714
6,0.285714
6,0.285714
6,0.285714
6,0.285714
2,0.086957
2,0.086957
2,0.086957
4,0.173913
4,0.173913
1,0.052632
4,0.181818
4,0.181818
4,0.181818
4,0.181818
1,0.052632
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
2,0.105263
2,0.105263
2,0.100000
2,0.100000
1,0.052632
2,0.100000
2,0.100000
1,0.052632
3,0.166667
3,0.166667
3,0.166667
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
2,0.090909
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
3,0.125000
3,0.125000
3,0.125000
2,0.090909
2,0.090909
4,0.181818
4,0.181818
4,0.181818
4,0.181818
4,0.181818
4,0.200000
4,0.200000
4,0.200000
4,0.200000
3,0.136364
3,0.136364
3,0.136364
0,0.000000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
9,0.360000
9,0.360000
9,0.360000
2,0.086957
2,0.086957
2,0.090909
2,0.090909
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
2,0.090909
2,0.090909
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
7,0.280000
7,0.280000
2,0.090909
2,0.090909
2,0.090909
4,0.181818
4,0.181818
2,0.086957
2,0.086957
1,0.045455
2,0.090909
2,0.090909
2,0.086957
2,0.086957
2,0.086957
4,0.173913
4,0.173913
1,0.045455
2,0.086957
2,0.086957
1,0.045455
19,0.678571
19,0.678571
19,0.678571
19,0.678571
19,0.678571
19,0.678571
19,0.678571
19,0.678571
19,0.678571
13,0.590909
13,0.590909
13,0.590909
13,0.590909
13,0.590909
13,0.590909
13,0.590909
13,0.590909
3,0.136364
3,0.136364
8,0.363636
8,0.363636
8,0.363636
8,0.363636
8,0.363636
8,0.363636
8,0.363636
11,0.550000
11,0.550000
11,0.550000
11,0.550000
11,0.550000
11,0.550000
11,0.550000
2,0.090909
2,0.090909
0,0.000000
2,0.090909
2,0.090909
2,0.166667
2,0.166667
2,0.166667
