path_len,local,complete
25,5,25
27,6,27
23,2,23
25,5,25
23,3,23
25,5,25
27,7,27
26,6,26
23,3,23
26,6,26
23,3,23
26,6,26
26,3,26
23,5,23
23,2,23
23,2,23
23,2,23
26,6,26
23,5,23
28,10,28
23,5,23
24,3,24
23,2,23
23,2,23
23,2,23
24,3,24
23,2,23
24,3,24
23,2,23
23,2,23
25,6,25
26,6,26
22,6,22
23,2,23
19,3,19
21,5,21
19,5,19
21,7,21
23,6,23
19,2,19
22,5,22
19,2,19
22,6,22
19,3,19
20,3,20
19,2,19
20,3,20
19,2,19
18,4,18
22,3,22
22,3,22
22,3,22
22,3,22
22,3,22
22,3,22
22,3,22
22,3,22
25,6,25
24,4,24
22,3,22
22,6,22
20,5,20
22,7,22
25,11,25
23,3,23
22,3,22
25,6,25
22,3,22
25,9,25
22,6,22
23,3,23
22,2,22
22,3,22
23,6,23
22,2,22
23,3,23
22,2,22
28,14,28
22,8,22
22,3,22
22,8,22
20,8,20
22,6,22
22,3,22
12,4,12
22,14,22
22,3,22
25,9,25
26,5,26
14,4,14
24,17,24
26,5,26
24,3,24
26,5,26
24,3,24
24,4,24
25,6,25
24,5,24
27,6,27
24,3,24
25,3,25
24,2,24
25,3,25
24,2,24
25,3,25
24,2,24
25,5,25
27,10,27
19,7,19
20,3,20
19,2,19
16,3,16
18,5,18
20,6,20
18,4,18
16,3,16
19,6,19
16,3,16
12,6,12
16,10,16
17,5,17
16,4,16
19,6,19
16,3,16
18,5,18
13,3,13
17,7,17
16,2,16
17,5,17
16,4,16
17,6,17
20,7,20
20,3,20
15,4,15
20,8,20
20,3,20
22,5,22
24,9,24
20,2,20
22,8,22
24,10,24
23,9,23
23,14,23
22,4,22
20,5,20
23,6,23
20,3,20
20,3,20
20,3,20
22,10,22
15,4,15
20,9,20
20,3,20
20,3,20
20,3,20
23,9,23
23,3,23
20,3,20
21,6,21
20,5,20
20,3,20
20,3,20
20,3,20
20,3,20
20,3,20
20,3,20
21,3,21
20,2,20
20,3,20
20,3,20
20,3,20
20,3,20
20,3,20
20,3,20
21,3,21
20,2,20
20,3,20
20,3,20
20,3,20
20,3,20
20,3,20
20,3,20
20,3,20
16,4,16
20,8,20
20,3,20
22,4,22
22,3,22
23,9,23
23,6,23
24,3,24
23,2,23
20,3,20
22,5,22
23,3,23
20,5,20
22,7,22
21,3,21
24,7,24
21,4,21
20,2,20
23,5,23
23,4,23
20,3,20
19,4,19
15,6,15
21,3,21
20,2,20
23,6,23
20,3,20
23,6,23
21,3,21
20,2,20
21,3,21
20,2,20
21,3,21
20,2,20
21,3,21
20,2,20
19,4,19
23,11,23
20,3,20
25,3,25
20,3,20
21,4,21
22,3,22
21,2,21
23,5,23
24,3,24
21,5,21
23,7,23
21,5,21
15,5,15
24,6,24
24,6,24
21,2,21
21,7,21
21,7,21
20,4,20
21,5,21
24,6,24
21,3,21
22,3,22
21,2,21
22,3,22
21,2,21
24,12,24
24,12,24
21,3,21
27,2,27
27,2,27
27,2,27
29,5,29
31,6,31
27,2,27
29,5,29
27,3,27
29,5,29
29,2,29
29,2,29
28,4,28
27,3,27
28,3,28
27,2,27
30,6,30
27,3,27
27,2,27
27,2,27
30,6,30
32,4,32
27,5,27
28,5,28
27,2,27
28,3,28
27,2,27
28,3,28
23,3,23
27,7,27
27,2,27
29,4,29
30,5,30
28,4,28
29,5,29
30,6,30
19,3,19
21,5,21
19,3,19
21,5,21
20,4,20
20,2,20
22,5,22
19,3,19
22,6,22
19,3,19
20,3,20
19,2,19
22,6,22
19,3,19
18,4,18
19,5,19
20,3,20
19,2,19
20,3,20
19,2,19
20,3,20
19,2,19
20,3,20
19,2,19
21,4,21
22,5,22
20,4,20
21,5,21
22,6,22
25,6,25
26,3,26
25,2,25
22,3,22
23,3,23
22,2,22
24,5,24
26,6,26
22,2,22
23,7,23
22,6,22
25,6,25
16,4,16
25,6,25
22,3,22
22,3,22
22,3,22
23,7,23
22,6,22
21,3,21
22,4,22
21,3,21
22,4,22
25,6,25
16,5,16
23,11,23
23,3,23
23,3,23
23,3,23
23,3,23
23,3,23
25,4,25
24,4,24
23,3,23
25,5,25
25,3,25
23,6,23
25,5,25
26,11,26
26,11,26
31,13,31
28,2,28
23,3,23
25,4,25
23,2,23
26,6,26
23,3,23
24,3,24
23,2,23
24,3,24
23,2,23
24,5,24
26,7,26
23,3,23
15,2,15
15,2,15
15,2,15
19,6,19
14,3,14
15,4,15
17,5,17
15,3,15
17,5,17
15,3,15
18,6,18
15,3,15
16,5,16
15,4,15
18,6,18
15,3,15
16,3,16
15,2,15
16,3,16
15,2,15
23,6,23
24,3,24
19,3,19
20,4,20
22,5,22
24,6,24
20,5,20
24,15,24
21,5,21
21,4,21
20,6,20
23,5,23
20,2,20
21,7,21
20,6,20
23,6,23
20,3,20
21,3,21
20,2,20
21,3,21
20,2,20
23,8,23
25,5,25
23,5,23
25,16,25
23,3,23
25,5,25
23,3,23
25,5,25
23,5,23
25,7,25
26,3,26
23,3,23
23,4,23
23,4,23
23,4,23
23,4,23
26,6,26
23,3,23
24,3,24
23,2,23
24,3,24
23,2,23
25,9,25
22,6,22
27,6,27
26,2,26
23,3,23
25,5,25
24,5,24
23,5,23
24,3,24
23,2,23
26,6,26
23,3,23
24,3,24
23,2,23
24,3,24
23,2,23
25,9,25
22,6,22
32,4,32
32,2,32
32,2,32
32,6,32
32,6,32
32,6,32
32,14,32
32,4,32
32,6,32
32,7,32
32,7,32
32,6,32
32,4,32
32,7,32
32,7,32
32,9,32
32,9,32
32,7,32
32,7,32
32,4,32
31,2,31
32,4,32
32,2,32
32,5,32
32,10,32
32,10,32
32,7,32
17,2,17
17,2,17
17,2,17
19,5,19
21,6,21
17,2,17
19,5,19
17,8,17
20,11,20
17,3,17
19,5,19
17,3,17
17,3,17
17,2,17
17,2,17
17,2,17
17,2,17
20,8,20
17,5,17
20,6,20
17,3,17
18,3,18
13,3,13
17,2,17
17,2,17
18,3,18
17,2,17
17,2,17
17,2,17
18,3,18
17,2,17
17,3,17
19,6,19
19,2,19
19,7,19
32,4,32
32,2,32
32,2,32
32,6,32
32,6,32
32,6,32
32,5,32
32,4,32
32,6,32
32,6,32
32,6,32
32,6,32
32,7,32
32,7,32
32,9,32
32,9,32
32,7,32
32,7,32
32,4,32
32,4,32
32,16,32
32,16,32
32,5,32
32,6,32
32,6,32
23,5,23
25,5,25
27,11,27
22,3,22
23,4,23
24,3,24
25,4,25
23,3,23
25,5,25
23,5,23
25,7,25
26,3,26
23,3,23
23,4,23
23,4,23
23,4,23
23,4,23
26,6,26
23,3,23
24,3,24
23,2,23
24,3,24
23,2,23
24,5,24
23,4,23
20,4,20
20,4,20
16,6,16
20,12,20
20,5,20
23,5,23
23,4,23
20,3,20
19,9,19
20,10,20
23,6,23
20,3,20
21,3,21
20,2,20
21,3,21
20,2,20
21,3,21
20,7,20
20,5,20
21,3,21
20,2,20
19,9,19
20,10,20
21,2,21
18,3,18
21,6,21
21,2,21
21,2,21
23,5,23
25,6,25
21,2,21
23,5,23
22,7,22
21,2,21
23,5,23
25,5,25
22,4,22
23,5,23
21,2,21
24,6,24
21,3,21
23,7,23
21,5,21
21,2,21
15,3,15
24,14,24
26,4,26
21,5,21
21,2,21
22,3,22
21,2,21
22,3,22
21,2,21
21,2,21
21,2,21
22,3,22
21,2,21
23,4,23
24,7,24
23,6,23
24,6,24
27,6,27
28,3,28
27,2,27
24,3,24
25,3,25
26,4,26
24,3,24
26,5,26
24,5,24
27,16,27
24,8,24
25,3,25
24,2,24
27,6,27
24,3,24
24,3,24
24,3,24
21,7,21
16,6,16
17,3,17
17,4,17
13,4,13
16,5,16
18,5,18
16,6,16
14,4,14
15,2,15
16,5,16
14,2,14
14,5,14
13,4,13
16,6,16
13,3,13
15,2,15
14,4,14
14,4,14
14,5,14
16,10,16
25,6,25
26,3,26
21,3,21
22,4,22
23,3,23
24,4,24
22,3,22
24,5,24
25,3,25
22,1,22
26,11,26
22,4,22
24,4,24
22,2,22
22,5,22
22,5,22
25,6,25
22,3,22
23,3,23
22,2,22
23,3,23
22,2,22
21,3,21
22,4,22
21,3,21
22,4,22
25,6,25
21,5,21
19,3,19
21,5,21
21,2,21
21,2,21
20,4,20
19,3,19
21,4,21
19,2,19
20,5,20
19,4,19
22,8,22
19,5,19
21,7,21
19,5,19
20,3,20
19,2,19
19,2,19
19,2,19
19,2,19
19,2,19
20,3,20
19,2,19
19,2,19
19,2,19
21,4,21
23,9,23
21,7,21
23,6,23
25,6,25
26,3,26
21,3,21
22,4,22
24,5,24
22,3,22
24,5,24
25,3,25
22,3,22
22,4,22
22,4,22
22,4,22
22,4,22
