local,complete
36,162
38,172
18,272
36,287
24,247
36,162
48,417
42,312
24,177
42,192
24,167
42,167
24,177
30,272
18,272
18,157
18,262
42,297
30,187
50,297
30,272
24,167
18,162
18,227
18,247
24,277
18,152
24,262
18,167
18,172
35,287
42,197
42,147
12,202
24,132
36,172
36,182
48,132
38,162
18,157
36,137
18,122
42,257
24,152
24,157
18,157
24,232
18,252
30,137
24,137
24,187
24,137
24,137
24,137
24,147
24,137
24,137
42,237
30,177
24,147
37,277
36,237
26,242
58,172
24,142
24,157
42,287
24,162
46,182
35,177
24,182
18,172
24,147
38,207
18,162
24,182
18,237
126,267
60,137
30,172
60,152
48,157
20,147
24,167
28,87
60,137
24,157
46,152
36,167
28,162
77,182
36,157
24,147
36,187
24,177
30,177
42,222
36,167
42,162
24,177
24,182
18,147
24,192
18,177
24,182
18,157
36,187
50,202
42,122
24,162
18,157
24,147
36,157
38,167
30,117
24,107
42,152
24,197
36,127
35,112
42,117
36,107
42,132
24,137
26,152
24,122
26,112
18,122
42,112
30,192
36,112
24,127
24,162
24,102
27,202
24,162
36,147
46,187
18,157
44,147
52,302
46,172
58,182
24,167
36,127
42,172
24,152
24,192
24,177
42,172
24,112
28,127
24,182
24,127
24,127
46,182
24,172
24,152
38,162
36,137
24,212
24,127
24,127
24,162
24,157
24,127
24,142
18,217
24,152
24,137
24,127
24,127
24,127
24,162
24,162
18,152
24,137
24,157
24,157
24,127
24,137
24,127
24,127
24,137
26,157
24,127
30,137
24,157
46,177
42,152
24,292
18,202
24,242
36,177
24,142
36,307
48,167
24,142
48,187
30,172
18,127
36,222
30,282
24,157
30,202
37,112
24,182
18,137
42,167
24,157
42,172
24,237
18,127
24,132
18,152
24,172
18,127
24,132
18,202
30,142
54,142
24,147
24,192
24,147
30,172
24,217
18,152
36,172
24,292
36,207
48,287
36,242
30,102
42,247
37,147
18,142
43,232
39,147
30,147
36,152
42,237
24,227
24,157
18,162
24,167
18,162
78,182
78,267
24,167
18,162
18,357
18,172
36,272
38,222
18,172
36,212
24,182
36,297
18,192
18,207
30,192
24,162
24,207
18,182
42,212
24,172
18,172
18,172
42,177
30,227
30,172
33,197
18,162
24,187
18,162
24,207
27,272
24,287
18,312
30,202
36,207
30,207
36,242
42,217
24,307
36,132
24,152
36,162
30,217
18,282
36,137
24,122
42,207
24,147
24,162
18,147
42,152
24,157
26,197
33,197
24,152
18,192
24,167
18,122
24,127
18,122
24,167
18,142
30,167
36,167
30,157
36,142
42,157
42,272
24,157
18,152
24,257
24,267
18,137
36,267
38,167
18,212
48,242
42,157
42,162
26,167
42,187
24,137
30,167
30,172
48,142
42,137
24,132
30,147
24,142
30,172
42,252
30,107
32,192
24,142
24,232
24,192
24,142
24,142
30,172
30,177
24,152
36,182
24,162
35,142
36,182
52,297
47,202
46,182
18,197
24,142
30,287
18,172
42,222
24,167
24,147
18,142
24,177
18,172
36,162
48,177
24,142
12,102
12,102
12,102
42,132
24,117
30,112
36,142
24,142
36,137
24,127
42,137
24,122
36,147
30,122
42,117
24,177
24,127
18,102
24,132
18,122
42,142
24,182
24,122
30,147
36,177
38,287
36,327
66,182
36,167
30,152
36,172
36,142
18,147
42,142
36,127
42,162
24,167
24,162
18,127
24,162
18,167
48,207
36,162
36,197
75,217
24,162
36,267
24,252
36,252
36,337
48,267
24,282
24,162
30,152
30,247
30,237
30,172
42,282
24,237
24,262
18,252
24,252
18,152
60,252
42,147
42,192
18,197
24,142
36,192
36,187
36,172
24,187
18,172
42,187
24,182
24,187
18,142
24,147
18,182
60,152
42,197
28,312
18,197
18,397
38,342
36,187
38,347
48,347
28,187
38,197
38,217
40,487
36,227
28,212
44,187
41,337
45,187
40,187
44,372
41,467
28,222
18,287
15,197
18,352
33,312
51,387
45,217
44,267
18,112
18,187
18,112
36,122
38,167
18,122
36,142
49,177
50,227
24,132
36,162
24,132
18,112
18,122
18,122
18,112
18,197
44,137
30,122
42,137
24,147
24,157
24,102
18,112
18,132
24,117
18,132
18,122
18,112
24,152
18,112
18,132
35,132
18,122
43,147
28,227
18,187
18,387
38,217
36,222
38,222
34,227
28,287
38,217
36,487
38,217
36,187
44,227
41,212
45,357
40,197
44,347
41,342
28,357
28,442
38,187
38,187
33,247
38,217
42,227
36,177
36,332
61,182
24,227
30,172
24,252
30,272
24,252
36,272
36,287
48,172
24,272
24,152
30,247
30,262
30,152
30,237
42,167
24,252
24,252
18,242
24,262
18,142
36,157
30,232
30,157
30,127
37,127
52,192
36,157
36,182
30,282
24,127
60,122
66,137
42,172
24,167
24,147
18,162
24,132
18,187
24,202
48,152
36,147
24,132
18,127
60,152
66,207
18,132
18,252
21,142
18,132
18,132
36,142
38,292
18,132
36,257
40,157
18,217
36,182
178,577
86,337
36,182
18,207
42,267
24,142
42,367
32,132
18,132
18,102
42,172
30,267
30,132
18,147
24,252
18,142
24,137
18,197
18,132
18,152
24,167
18,207
30,252
40,187
35,202
42,257
42,212
24,212
18,172
24,157
24,182
30,207
24,187
36,202
36,402
62,172
54,167
24,202
18,352
42,212
24,197
24,237
24,182
48,152
42,142
24,142
24,122
26,122
36,127
28,212
33,107
28,122
12,127
32,127
18,117
30,117
24,112
42,117
24,117
12,122
26,137
28,97
30,127
46,122
42,202
24,197
24,172
30,167
24,172
30,172
24,167
36,172
24,412
47,157
30,137
30,192
18,177
36,137
